canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,target_name
COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,CHEMBL2017291,IC50,nM,1260.0,IC50,uM,1.26,CHRNA1
N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2,CHEMBL248757,Ki,nM,1650.0,Ki,uM,1.65,MUSK
CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,CHEMBL460702,IC50,nM,500.0,IC50,nM,500.0,MUSK
Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)cc2F)n[nH]1,CHEMBL1774056,IC50,nM,224.0,IC50,uM,0.224,MUSK
CC(C)Oc1cc(-n2cnc3ccc(N[C@@H](C)c4ccc(F)cn4)nc32)n[nH]1,CHEMBL2151321,IC50,nM,100.0,IC50,nM,100.0,MUSK
Cc1c(C(=O)N2CCOc3ccc(-c4ccc(N)nc4)cc3C2)ccc(S(C)(=O)=O)c1F,CHEMBL2333365,IC50,nM,10000.0,IC50,nM,10000.0,MUSK
O=C(N[C@@H](c1ccccn1)C1CC1)c1ccc2[nH]nc(-c3ccc(N4[C@H]5CC[C@H]4CC(O)C5)cc3)c2c1,CHEMBL3422092,IC50,nM,690.0,IC50,nM,690.0,MUSK
Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,CHEMBL3745885,IC50,nM,10000.0,IC50,uM,10.0,MUSK
CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,CHEMBL3818247,IC50,nM,30000.0,IC50,nM,30000.0,MUSK
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,IC50,nM,3.8,IC50,nM,3.8,MUSK
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,IC50,nM,290.0,IC50,10'-7M,2.9,MUSK
COC[C@@H](C)Nc1cc(NC(=O)N2CCCc3cc(CN4CCCCOC4=O)c(C=O)nc32)ncc1C#N,CHEMBL4475216,IC50,nM,10000.0,IC50,nM,10000.0,MUSK
CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,CHEMBL4438748,IC50,nM,10000.0,IC50,uM,10.0,MUSK
C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C,CHEMBL4634634,IC50,nM,100000.0,IC50,uM,100.0,MUSK
CC(C)(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(Cl)cn3)c2)c2cnc(N)nc21,CHEMBL4212531,IC50,nM,53.0,IC50,nM,53.0,MUSK
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,IC50,nM,54.4,IC50,10^-8M,5.44,MUSK
CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,CHEMBL4088216,IC50,nM,1000.0,pIC50,,6.0,MUSK
CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21,CHEMBL4549667,IC50,nM,1000.0,pIC50,,6.0,MUSK
CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21,CHEMBL4097778,IC50,nM,1000.0,pIC50,,6.0,MUSK
Nc1nc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)c2cc(C3=CCN(C4COC4)CC3)[nH]c2n1,CHEMBL5077961,IC50,nM,306.0,IC50,nM,306.0,MUSK
Cc1c2cc(cc1C(=O)Nc1cc(CN3CCN(C)CC3)cc(C3CC3)c1)OCCCCCCCNC(=O)c1ccc3ncc(n3n1)C#C2,CHEMBL5423601,IC50,nM,12.83,IC50,nM,12.83,MUSK
COc1cc(Nc2nccc(-c3cc(C(=O)N[C@@H](C)CN4CCC4)n(C)n3)n2)cc(OC)c1,CHEMBL5559304,IC50,nM,257.0,IC50,nM,257.0,MUSK
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1,CHEMBL3545360,IC50,nM,100.0,IC50,nmol/L,100.0,MUSK
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,CHEMBL601719,IC50,nM,9.1,IC50,nmol/L,9.1,MUSK
Cc1cn(CCN2CCN(c3ccccc3-c3cc(C#N)cc(C(=O)NCCCN4CCCC4)c3)CC2)c2ccccc12,CHEMBL3414623,IC50,nM,20000.0,IC50,uM,20.0,MUSK
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1,CHEMBL1738757,IC50,nM,1000.0,IC50,nM,1000.0,MUSK
N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,CHEMBL1078178,IC50,nM,1000.0,IC50,uM,1.0,MUSK
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,IC50,nM,158.0,IC50,10^-7M,1.58,MUSK
