result_id,chembl_id,smiles,gene_name,vina_score,MW,LogP,TPSA,HBA,HBD,QED,Lipinski_Pass
4606,CHEMBL6329,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,MUSK,-7.092,341.754,2.113619999999999,84.82,4,1,0.7393377454162021,True
4659,CHEMBL6243,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,MUSK,-7.084,335.3630000000001,2.0770599999999995,84.82,4,1,0.7427283791753002,True
4674,CHEMBL415103,COc1cc2nc(N3CCN(C(=O)C4OC4c4ccccc4)CC3)nc(N)c2cc1OC,MUSK,-7.084,435.48400000000026,2.017899999999999,106.34,8,1,0.6069514895879309,True
4654,CHEMBL266484,Cc1cc(Cl)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1C,MUSK,-7.081,355.7810000000001,2.42204,84.82,4,1,0.7310717924650317,True
4492,CHEMBL1231,CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,CHRNA1,-7.08,361.25100000000003,-1.4035000000000009,172.07999999999998,9,5,0.3962956694621264,True
4609,CHEMBL265667,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,MUSK,-7.072,357.797,2.2727399999999998,87.98,4,2,0.7523079113288574,True
4716,CHEMBL6228,O=C1O/C(=C\I)CCC1c1cccc2ccccc12,LRP4,-7.068,364.182,4.536800000000003,26.3,2,0,0.5488232585487887,True
4608,CHEMBL6362,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,MUSK,-7.066,307.309,1.4602199999999999,84.82,4,1,0.7423863406568361,True
4678,CHEMBL266081,COc1cc2nc(N3CCN(C(=O)c4cccc(CCl)c4)CC3)nc(N)c2cc1OC,MUSK,-7.046,441.91900000000027,2.9304000000000006,93.81,7,1,0.6081007713168407,True
4497,CHEMBL998,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(CC(=O)[O-])cc1,LRP4,-7.04,338.3510000000001,-0.48699999999999877,146.97,9,2,0.6285795757745255,True
4498,CHEMBL1128,c1ccc(-c2ccccc2)cc1,CHRNA1,-7.04,154.21199999999996,3.353600000000001,0.0,0,0,0.5905018880213778,True
4527,CHEMBL6254,O=C(c1ccccc1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,CHRNA1,-7.032,327.727,1.8051999999999997,84.82,4,1,0.7433721434336338,True
4635,CHEMBL263077,COc1cc2nc(N3CCN(C(=O)CCc4ccccc4)CC3)nc(N)c2cc1OC,MUSK,-7.029,421.5010000000002,2.5106,93.81,7,1,0.6535216375872722,True
4641,CHEMBL268768,COc1cc2nc(N3CCN(C(=O)/C=C/c4ccccc4)CC3)nc(N)c2cc1OC,MUSK,-7.026,419.48500000000024,2.5912000000000006,93.81,7,1,0.6354446414944143,True
4493,CHEMBL1231,CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,MUSK,-7.0,361.25100000000003,-1.4035000000000009,172.07999999999998,9,5,0.3962956694621264,True
